,zparm_value,macro_name
TSQTY,0000000000,DSN6SYSP
TSTAMP,NO,DSN6ARVP
TWOACTV,2,DSN6LOGP
TWOARCH,2,DSN6LOGP
TWOBSDS,2,DSN6LOGP
UGCCSID,01200,DSNHDECP
UIFCIDS,YES,DSN6SYSP
UMCCSID,01208,DSNHDECP
UNION_COLNAME_7,NO,DSN6SPRM
UNIT,CART,DSN6ARVP
UNIT2,,DSN6ARVP
URCHKTH,005,DSN6SYSP
URLGWTH,0000000010,DSN6SYSP
USCCSID,00367,DSNHDECP
UTIL_DBBSG,,DSN6SPRM
UTIL_LGBSG,,DSN6SPRM
UTIL_MODIFY_REC_DELETEDS,ALLOW,DSN6SPRM
UTIL_TEMP_STORCLAS,,DSN6SPRM
UTILITY_HISTORY,UTILITY,DSN6SPRM
UTILS_BLOCK_FOR_CDC,NO,DSN6SPRM
UTILS_DUMP_CLASS_NAME,,DSN6SPRM
UTILS_HSM_MSGDS_HLQ,,DSN6SPRM
UTILS_USE_ZSORT,NO,DSN6SPRM
UTIMOUT,00006,DSN6SPRM
VOLTDEVT,SYSDA,DSN6SPRM
WAIT TIME FOR LOCAL DEADLOCK,01000,DNK3IRLM
WFDBSEP,NO,DSN6SPRM
WFSTGUSE_AGENT_THRESHOLD,00000,DSN6SPRM
WFSTGUSE_SYSTEM_THRESHOLD,00090,DSN6SPRM
WLMENV,DNKWLM,DSN6SYSP
XLKUPDLT,NO,DSN6SPRM
XML_RANDOMIZE_DOCID,NO,DSN6SYSP
XML_RESTRICT_EMPTY_TAG,NO,DSN6SPRM
ZHYPERLINK,DISABLE,DSN6SPRM
ZOSMETRICS,NO,DSN6SPRM
